ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0000395,mRNA 5'-splice site recognition,4/13,19/10799,4.8446265149090006e-9,4.6023951891635507e-7,2.600799497477464e-7,RNVU1-15/RNVU1-8/RNVU1-2A/RNVU1-14,4
GO:0045292,"mRNA cis splicing, via spliceosome",4/13,36/10799,7.279426644621292e-8,3.4577276561951135e-6,1.95395136250361e-6,RNVU1-15/RNVU1-8/RNVU1-2A/RNVU1-14,4
GO:0006376,mRNA splice site recognition,4/13,40/10799,1.1263743008701703e-7,3.5668519527555397e-6,2.0156171699781995e-6,RNVU1-15/RNVU1-8/RNVU1-2A/RNVU1-14,4
GO:0045653,negative regulation of megakaryocyte differentiation,3/13,18/10799,1.100650535226146e-6,2.0912360169296777e-5,1.1817511009796515e-5,H4C6/H4C2/H4C4,3
GO:0061644,protein localization to CENP-A containing chromatin,3/13,18/10799,1.100650535226146e-6,2.0912360169296777e-5,1.1817511009796515e-5,H4C6/H4C2/H4C4,3
GO:0000245,spliceosomal complex assembly,4/13,82/10799,2.09596930339192e-6,3.318618063703874e-5,1.8753409556664548e-5,RNVU1-15/RNVU1-8/RNVU1-2A/RNVU1-14,4
GO:0022618,protein-RNA complex assembly,5/13,210/10799,3.005918543821452e-6,4.079460880900542e-5,2.3052909133066774e-5,RNVU1-15/RNVU1-8/RNU4-2/RNVU1-2A/RNVU1-14,5
GO:0071826,protein-RNA complex organization,5/13,218/10799,3.6120905222476244e-6,4.289357495169054e-5,2.4239028504556428e-5,RNVU1-15/RNVU1-8/RNU4-2/RNVU1-2A/RNVU1-14,5
GO:0045652,regulation of megakaryocyte differentiation,3/13,30/10799,5.43077178690054e-6,5.7324813306172364e-5,3.2394077325371646e-5,H4C6/H4C2/H4C4,3
GO:0071459,"protein localization to chromosome, centromeric region",3/13,40/10799,1.3124166900186505e-5,1.1363077342704719e-4,6.421240382027044e-5,H4C6/H4C2/H4C4,3
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",5/13,290/10799,1.4549751297346683e-5,1.1363077342704719e-4,6.421240382027044e-5,RNVU1-15/RNVU1-8/RNU4-2/RNVU1-2A/RNVU1-14,5
GO:0000398,"mRNA splicing, via spliceosome",5/13,290/10799,1.4549751297346683e-5,1.1363077342704719e-4,6.421240382027044e-5,RNVU1-15/RNVU1-8/RNU4-2/RNVU1-2A/RNVU1-14,5
GO:0000375,"RNA splicing, via transesterification reactions",5/13,294/10799,1.5549474258438036e-5,1.1363077342704719e-4,6.421240382027044e-5,RNVU1-15/RNVU1-8/RNU4-2/RNVU1-2A/RNVU1-14,5
GO:0030219,megakaryocyte differentiation,3/13,49/10799,2.43208849493512e-5,1.65034576442026e-4,9.326053627194822e-5,H4C6/H4C2/H4C4,3
GO:0071168,protein localization to chromatin,3/13,55/10799,3.448762174338729e-5,2.1842160437478614e-4,1.2342938308159662e-4,H4C6/H4C2/H4C4,3
GO:0045638,negative regulation of myeloid cell differentiation,3/13,63/10799,5.1912847378126754e-5,3.082325313076276e-4,1.7418126422924109e-4,H4C6/H4C2/H4C4,3
GO:0008380,RNA splicing,5/13,426/10799,9.235152443331776e-5,5.160820483038345e-4,2.916363929473193e-4,RNVU1-15/RNVU1-8/RNU4-2/RNVU1-2A/RNVU1-14,5
GO:0006397,mRNA processing,5/13,453/10799,1.236112829231962e-4,6.523928820946466e-4,3.6866522977093606e-4,RNVU1-15/RNVU1-8/RNU4-2/RNVU1-2A/RNVU1-14,5
GO:0022613,ribonucleoprotein complex biogenesis,5/13,474/10799,1.5314066324805575e-4,7.397971845368921e-4,4.180571347521496e-4,RNVU1-15/RNVU1-8/RNU4-2/RNVU1-2A/RNVU1-14,5
GO:0006334,nucleosome assembly,3/13,91/10799,1.557467756919773e-4,7.397971845368921e-4,4.180571347521496e-4,H4C6/H4C2/H4C4,3
GO:0034728,nucleosome organization,3/13,109/10799,2.6578617535817634e-4,0.0012023660313822263,6.794533806148869e-4,H4C6/H4C2/H4C4,3
GO:0034502,protein localization to chromosome,3/13,114/10799,3.03379489252143e-4,0.0012584765053976494,7.111612385072591e-4,H4C6/H4C2/H4C4,3
GO:1903706,regulation of hemopoiesis,4/13,291/10799,3.0468378551732565e-4,0.0012584765053976494,7.111612385072591e-4,CTLA4/H4C6/H4C2/H4C4,4
GO:0045637,regulation of myeloid cell differentiation,3/13,148/10799,6.52258962371603e-4,0.002581858392720929,0.0014590003105680593,H4C6/H4C2/H4C4,3
GO:0045596,negative regulation of cell differentiation,4/13,363/10799,7.055070806019154e-4,0.0026809269062872784,0.001514983625713587,CTLA4/H4C6/H4C2/H4C4,4
GO:0032200,telomere organization,3/13,179/10799,0.0011332830263665384,0.004140841827108506,0.002339977098975444,H4C6/H4C2/H4C4,3
GO:0050853,B cell receptor signaling pathway,2/13,47/10799,0.0014026514949640832,0.004935255260058812,0.002788897709285312,CTLA4/CD79A,2
GO:0065004,protein-DNA complex assembly,3/13,196/10799,0.0014724097495703583,0.004995675936042287,0.0028230412491762513,H4C6/H4C2/H4C4,3
GO:0042100,B cell proliferation,2/13,64/10799,0.002585846236003808,0.00847087560070213,0.004786865990424473,CTLA4/CD79A,2
GO:0030099,myeloid cell differentiation,3/13,311/10799,0.005458619655690784,0.017285628909687482,0.009768056225972982,H4C6/H4C2/H4C4,3
GO:0050851,antigen receptor-mediated signaling pathway,2/13,153/10799,0.014041176123426983,0.043029410700824625,0.024315788872488156,CTLA4/CD79A,2
