gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol,entrez
ENSG00000103490.14,-0.8505406958108521,5.373522767325802,-4.370936818902593,3.4108162140388504e-5,0.5242424520977713,-3.006184833216359,PYCARD,29108
ENSG00000101945.17,-3.4407608581952656,1.5839763225308046,-4.082320763718073,9.870037347162713e-5,0.7585123701294545,-4.495381093802424,SUV39H1,6839
ENSG00000227039.9,0.8762888882016959,4.324774865395967,3.7233590480520595,3.4831673932269507e-4,0.9999965107162296,-3.7356648239120096,ITGB2-AS1,100505746
ENSG00000111537.5,1.2029838759785898,3.2112275223196733,3.517484627078051,6.949459614849761e-4,0.9999965107162296,-4.136732487697443,IFNG,3458
ENSG00000163545.11,-2.192015490237589,0.06661029076715252,-3.404508926646943,0.0010045192589565397,0.9999965107162296,-4.501050404832164,NUAK2,81788
ENSG00000241612.1,-1.9082807953704437,1.7197157670901435,-3.3742655157090713,0.0011071938635467075,0.9999965107162296,-4.439286837443599,RPL21P46,645174
ENSG00000189233.12,-1.63207448011574,1.2599522299552108,-3.3483910387343747,0.0012027924235276982,0.9999965107162296,-4.4513353410776215,NUGGC,389643
ENSG00000147050.18,0.9241160811318174,3.71856830312455,3.327404816263362,0.001285971927679135,0.9999965107162296,-4.112830890766533,KDM6A,7403
ENSG00000154134.15,1.4561700595494285,2.4434434460202032,3.2972331365205685,0.001415063956881078,0.9999965107162296,-4.353278312200943,ROBO3,64221
ENSG00000291263.2,-1.8196195782374613,1.2907717963740952,-3.2794503469562177,0.0014967420176478635,0.9999965107162296,-4.490730912461879,SMG1P7,100506060
ENSG00000129682.16,-2.845221706457232,-0.39062624320271927,-3.2511306400837077,0.0016359933641164747,0.9999965107162296,-4.545499388562149,FGF13,2258
ENSG00000079950.14,0.6190166835411182,4.907630746902584,3.2333307143985306,0.0017296293118881448,0.9999965107162296,-3.812949173178189,STX7,8417
ENSG00000260007.3,4.187653772383003,-2.2238537876472595,3.2320140284531647,0.0017450744057668228,0.9999965107162296,-4.564633117767858,NA,NA
ENSG00000125503.13,0.4809214448002912,6.457559295291059,3.202048117797871,0.001906441292669054,0.9999965107162296,-3.3756903529682205,PPP1R12C,54776
ENSG00000124762.15,0.7692939175237132,5.030122210861253,3.2024500138719074,0.0020602578427887093,0.9999965107162296,-3.7675239065602026,CDKN1A,1026
ENSG00000172215.6,1.3131421242671482,2.6745554803036593,3.167759255794249,0.0021903033804697406,0.9999965107162296,-4.305675395944924,CXCR6,10663
ENSG00000115738.10,0.4599978962781517,8.187846175732858,3.1079994024358153,0.002644387822115224,0.9999965107162296,-3.130046423472624,ID2,3398
ENSG00000197943.13,1.1497266765037089,2.441607515143108,3.0647670050685725,0.002900823484051075,0.9999965107162296,-4.36557388717667,PLCG2,5336
ENSG00000213722.10,0.48030414845120717,5.9767024680997975,3.0292541667176462,0.0032271513235350474,0.9999965107162296,-3.5648965380947626,DDAH2,23564
ENSG00000296209.1,-1.0896834353932794,2.457662120451487,-2.993556727788529,0.0035891963221425616,0.9999965107162296,-4.39990430629814,NA,NA
ENSG00000212195.2,-1.5239259776748133,2.445672993270422,-3.059234891773497,0.0035920771183938207,0.9999965107162296,-4.288318169430855,LOC124904154,124904154
ENSG00000236609.4,2.4467264858173974,0.09931469625663211,2.989622837947941,0.00363131422694867,0.9999965107162296,-4.547296928868434,ZNF853,54753
ENSG00000155629.15,-1.9728820528041489,0.9775086987663918,-2.936011719457256,0.004252747052149609,0.9999965107162296,-4.526142268847419,PIK3AP1,118788
ENSG00000205336.14,1.3488586383697174,2.0434210351606037,2.9266302512750384,0.004371091573876095,0.9999965107162296,-4.433430570361893,ADGRG1,9289
ENSG00000172238.6,2.3860420872298187,-1.2441639644765823,2.9244004463138524,0.00439966305246377,0.9999965107162296,-4.553163115895371,ATOH1,474
ENSG00000078070.14,0.6761477213636629,3.873165476805293,2.9085415686701683,0.004607889473557964,0.9999965107162296,-4.176525440698003,MCCC1,56922
