gene_symbol,logFC,significance,analysis_type,gene_type
ELMO3,0.4475402438290432,FALSE,offtarget,Promoter
IGDCC4,0,FALSE,offtarget,Promoter
BICRAL,-0.2503389091116546,FALSE,offtarget,Promoter
EPN2,0.5392461935463262,FALSE,offtarget,Promoter
PRR34,0,FALSE,offtarget,Promoter
ERICD,0,FALSE,offtarget,Promoter
SGTA,0.05007045673155996,FALSE,offtarget,Promoter
BTG1-DT,0,FALSE,offtarget,Promoter
LARP1B,-1.4880992308676926,TRUE,offtarget,Promoter
LOC124904643,0,FALSE,offtarget,Promoter
ELAVL1,0.29116957445597613,FALSE,offtarget,Promoter
DND1,-0.18721488619417603,FALSE,offtarget,Promoter
GALR3,0,FALSE,offtarget,Promoter
ARL8A,0.04781692859740172,FALSE,offtarget,Promoter
TRMT2A,-0.3004011110547853,FALSE,offtarget,Promoter
TSPAN10,0,FALSE,offtarget,Promoter
HAS3,0,FALSE,offtarget,Promoter
THAP4,0.19583623226954483,FALSE,offtarget,Promoter
MILIP,0.778481750585714,FALSE,offtarget,Promoter
HGH1,-0.03241988959558528,FALSE,offtarget,Promoter
STUB1-DT,0,FALSE,offtarget,Promoter
TAMALIN,-0.43872680653017615,FALSE,offtarget,Promoter
MIR499A,0,FALSE,offtarget,Promoter
MRPL12,-0.2046052650590071,FALSE,offtarget,Promoter
SLC25A10,0.2302250896440672,FALSE,offtarget,Promoter
ECI2,0.6134666549154968,TRUE,offtarget,Promoter
AHI1-DT,-0.4123073817895264,FALSE,offtarget,Promoter
BCAS4,0.5328967196490693,TRUE,offtarget,Promoter
DNAAF2,0.06522292399764407,FALSE,offtarget,Promoter
TMX4,0.15026151877940652,FALSE,offtarget,Promoter
ING2-DT,0,FALSE,offtarget,Promoter
GLIPR2,-0.10130230992758003,FALSE,offtarget,Promoter
HAPSTR1,-0.11891920178658744,FALSE,offtarget,Promoter
PTBP1,0.10924879628450944,FALSE,offtarget,Promoter
CNIH2,0,FALSE,offtarget,Promoter
GALNT3,0.33286674806458105,FALSE,offtarget,Promoter
FAM88B,-0.01239656490130594,FALSE,offtarget,Promoter
FAM88C,0,FALSE,offtarget,Promoter
FAM88E,0,FALSE,offtarget,Promoter
FAM88F,0,FALSE,offtarget,Promoter
GLIDR,0.12953152674525512,FALSE,offtarget,Promoter
XLOC_007697,0,FALSE,offtarget,Promoter
ZFP42,0,FALSE,offtarget,Promoter
BRAF,0.11006489432966982,FALSE,offtarget,Promoter
ENTPD8,0,FALSE,offtarget,Promoter
ZCCHC14,0.28692516470342366,FALSE,offtarget,Promoter
LOC107987065,0,FALSE,offtarget,Promoter
LIMS1,-0.0942694117839773,FALSE,offtarget,Promoter
NDUFAF3,-0.16813651912430583,FALSE,offtarget,Promoter
NALT1,0,FALSE,offtarget,Promoter
LOC124909398,0,FALSE,offtarget,Promoter
CDC42EP1,0,FALSE,offtarget,Promoter
CYC1,0.124008460259871,FALSE,offtarget,Promoter
NXPH3,0,FALSE,offtarget,Promoter
AFDN,-0.09630827584313906,FALSE,offtarget,Promoter
LOC124905148,0,FALSE,offtarget,Promoter
BCL2L10,0,FALSE,offtarget,Promoter
CBR3-AS1,0.15519656980959162,FALSE,offtarget,Promoter
INTS6L-AS1,0,FALSE,offtarget,Promoter
PPP1R21,-0.2663252361007227,FALSE,offtarget,Promoter
USP19,-0.05688181815285542,FALSE,offtarget,Promoter
SSNA1,-0.00789781464671879,FALSE,offtarget,Promoter
FOXP4,0.36541802053720607,FALSE,offtarget,Promoter
TMEM266,0,FALSE,offtarget,Promoter
RNF34,-0.05072103341954559,FALSE,offtarget,Promoter
NDUFV1-DT,0,FALSE,offtarget,Promoter
RHOV,0,FALSE,offtarget,Promoter
ARL6IP6,0.12504424839503692,FALSE,offtarget,Promoter
SLIT2,0,FALSE,offtarget,Promoter
ADD3-AS1,-1.3665445265211975,FALSE,offtarget,Promoter
MAPKAPK5,0.0740092027084529,FALSE,offtarget,Promoter
RASGRP1,-0.3610798811613085,TRUE,offtarget,Promoter
RASA2,-1.9546220492847255,TRUE,both,Promoter
ZBTB38,0.02441783299628586,FALSE,proximal,proximal_gene
