gene_symbol,logFC,significance,analysis_type,gene_type
BHLHA9,0,FALSE,offtarget,Promoter
LOC100129434,0,FALSE,offtarget,Promoter
SAXO4,0,FALSE,offtarget,Promoter
SDHAF2,0.09283911439349524,FALSE,offtarget,Promoter
IRS1,-0.1368164280179336,FALSE,offtarget,Promoter
NCF1,0,FALSE,offtarget,Promoter
NCF1B,-0.03761477167108085,FALSE,offtarget,Promoter
NCF1C,0,FALSE,offtarget,Promoter
NAT14,0.09090040761357354,FALSE,offtarget,Promoter
ARHGEF12,0.6448132232493307,FALSE,offtarget,Promoter
NDC1,0.06685328458604811,FALSE,offtarget,Promoter
LRRC71,0,FALSE,offtarget,Promoter
XPNPEP3,0.21145193775798063,FALSE,offtarget,Promoter
SQLE-DT,0,FALSE,offtarget,Promoter
TMEM192,-0.01091277963046621,FALSE,offtarget,Promoter
HOMER3,0,FALSE,offtarget,Promoter
MKNK2,-0.01377948465410483,FALSE,offtarget,Promoter
SCN1B,0,FALSE,offtarget,Promoter
CTDSPL,-0.32225682067154215,FALSE,offtarget,Promoter
IRF2BP2,0.12487186809773476,FALSE,offtarget,Promoter
MIR4508,0,FALSE,offtarget,Promoter
ARPC5,0.10175233423917174,FALSE,offtarget,Promoter
SH3RF3,0,FALSE,offtarget,Promoter
CNGA3,0,FALSE,offtarget,Promoter
CHSY1,0.1844228610787093,FALSE,offtarget,Promoter
CLPB,0.01016529382395825,FALSE,offtarget,Promoter
PEX5L,0,FALSE,offtarget,Promoter
GAS1RR,0,FALSE,offtarget,Promoter
NACC2,0.1447687965153439,FALSE,offtarget,Promoter
AANAT,0,FALSE,offtarget,Promoter
RPS7,-0.2352935080863272,FALSE,offtarget,Promoter
CDCP2,0,FALSE,offtarget,Promoter
RAD23A,-0.06052444325407791,FALSE,offtarget,Promoter
BZW1,-0.04760758238338702,FALSE,offtarget,Promoter
UBE2Z,0.05374437990480363,FALSE,offtarget,Promoter
IGF2BP3,0,FALSE,offtarget,Promoter
MOB3A,0.02625116648898551,FALSE,offtarget,Promoter
ZFP92,0,FALSE,offtarget,Promoter
SYCP2,-0.08453425942850101,FALSE,offtarget,Promoter
CCR4,-0.47151120160996873,FALSE,offtarget,Promoter
PTPN2,-2.304490717958064,TRUE,both,proximal_gene
SEH1L,-0.5142852790680639,FALSE,proximal,proximal_gene
