gene_symbol,logFC,significance,analysis_type,gene_type
NEUROG2,0,FALSE,offtarget,Promoter
MRPS24,-0.1428720538306214,FALSE,offtarget,Promoter
LOC105379380,0,FALSE,offtarget,Promoter
LOC124901453,0,FALSE,offtarget,Promoter
SRSF2,-0.12264091504119978,FALSE,offtarget,Promoter
DCAF12,0.25740849068384364,FALSE,offtarget,Promoter
LINC01301,0,FALSE,offtarget,Promoter
LOC105375864,0,FALSE,offtarget,Promoter
KDM6A,0.2609548809881006,FALSE,offtarget,Promoter
RPL27A,-0.1965910418184489,FALSE,offtarget,Promoter
WFDC2,0,FALSE,offtarget,Promoter
MED12,-2.075924761660344,TRUE,both,Promoter
IL2RG,-0.05793944428419362,FALSE,proximal,proximal_gene
CXorf65,0.05944056845008161,FALSE,proximal,proximal_gene
FOXO4,0.6921046582984562,TRUE,proximal,proximal_gene
NLGN3,-0.6781345115273619,FALSE,proximal,proximal_gene
SNX12,0.299053124633919,FALSE,proximal,proximal_gene
LOC107985688,-0.09470608856664996,FALSE,proximal,proximal_gene
GJB1,0,FALSE,proximal,proximal_gene
