gene_id           , D1_Teff_Resting_MED12_KO, D2_Teff_Resting_MED12_KO, D1_Teff_Resting_AAVS1_1_KO, D2_Teff_Resting_AAVS1_1_KO, gene_symbol
ENSG00000000419.14,      41.44097670781626  ,     43.895212898928655  ,       31.00199486812859   ,        43.12660703720107  , DPM1
ENSG00000000457.14,      20.27962689956966  ,     22.562959901318468  ,       20.667996578752394  ,        16.388110674136406 , SCYL3
ENSG00000000460.17,      10.5806749041233   ,     20.922017363040762  ,       13.15236145920607   ,        16.388110674136406 , FIRRM
ENSG00000000971.17,      21.489791591728764 ,      7.384241422249681  ,        7.04590792457468   ,         1.7250642814880428, CFH
ENSG00000001036.14,      17.193596719200364 ,     11.07636213337452   ,        9.394543899432906  ,        11.644183900044288 , FUCA2
ENSG00000001084.13,      30.860301803692963 ,     24.204312675230746  ,       40.396538767561495  ,        35.795083840876885 , GCLC
ENSG00000001167.15,      16.752735264861894 ,     14.768482844499362  ,       26.774450113383782  ,        19.40697316674048  , NFYA
ENSG00000001461.18,      81.11850759827864  ,     82.86759818302419   ,       77.03525997534983   ,        85.82194800403012  , NIPAL3
ENSG00000001497.18,       6.172060360738593 ,      9.025183960527388  ,       13.15236145920607   ,        12.0754499704163   , LAS1L
ENSG00000001561.7 ,      18.516181082215777 ,     29.947201323568148  ,       26.774450113383782  ,        25.01343208157662  , ENPP4
ENSG00000001629.10,      78.91420032658628  ,     69.3298222422331    ,       77.03525997534983   ,        81.94055337068203  , ANKIB1
ENSG00000001630.18,      33.94633198406226  ,     53.70763904219478   ,       17.84963340892252   ,        34.93255170013286  , CYP51A1
ENSG00000001631.17,     146.36600284037235  ,    143.1722364647299    ,      140.44843129652196   ,       119.46070149304695  , KRIT1
ENSG00000002549.13,      28.215133077662138 ,     67.68887970395541   ,       28.653358893270365  ,        38.81394633348096  , LAP3
ENSG00000002586.20,       0                 ,     83.89687939015889   ,        0                  ,        43.46256330602087  , CD99
ENSG00000002822.16,       6.313576887581242 ,      3.8837007524687626 ,        1.855422420137999  ,         7.146078786064217 , MAD1L1
ENSG00000002834.19,     245.5598300665283   ,    272.80669698866876   ,      224.05987200147482   ,       243.66532976018604  , LASP1
ENSG00000002919.15,       8.817229086769418 ,      5.743298883971974  ,        5.636726339659744  ,         5.175192844464128 , SNX11
ENSG00000003056.8 ,      56.430266155324276 ,     54.15110376316432   ,       70.92880644071845   ,        72.02143375212579  , M6PR
ENSG00000003393.16,      16.311873810523423 ,     13.948011575360507  ,       16.910179018979232  ,        13.800514251904342 , ALS2
ENSG00000003400.16,      10.13981344978483  ,     21.332252997610187  ,        8.455089509489616  ,        12.93798211116032  , CASP10
ENSG00000003402.21,     217.3442561274118   ,    175.5812618313492    ,      280.8973323202389    ,       263.77569788770325  , CFLAR
ENSG00000003509.16,      15.430150901846481 ,     13.948011575360507  ,       14.561543044121004  ,        19.40697316674048  , NDUFAF7
