ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006935,chemotaxis,20/163,239/10799,4.63320963020683e-10,6.319697935602117e-7,4.962411367089948e-7,CCR2/PDGFRB/STAP1/CCR1/PLAUR/CXCL8/NRP1/EGR3/KIT/CCR6/HSPB1/NR4A1/DAPK2/CCL3L1/ACKR2/FCER1G/SLIT1/PLAU/PDGFA/VAV3,20
GO:0042330,taxis,20/163,239/10799,4.63320963020683e-10,6.319697935602117e-7,4.962411367089948e-7,CCR2/PDGFRB/STAP1/CCR1/PLAUR/CXCL8/NRP1/EGR3/KIT/CCR6/HSPB1/NR4A1/DAPK2/CCL3L1/ACKR2/FCER1G/SLIT1/PLAU/PDGFA/VAV3,20
GO:0060326,cell chemotaxis,16/163,166/10799,3.702772561011427e-9,3.3670545154797245e-6,2.643909530406405e-6,CCR2/PDGFRB/STAP1/CCR1/CXCL8/NRP1/EGR3/KIT/CCR6/HSPB1/NR4A1/DAPK2/CCL3L1/ACKR2/FCER1G/VAV3,16
GO:0002252,immune effector process,23/163,404/10799,3.747385151027283e-8,2.555716673000607e-5,2.0068233637738213e-5,CCR2/STAP1/ITGAM/CD300A/KLRD1/KIT/GZMB/CCR6/CD70/ZNF683/SPON2/IL13/EOMES/FCER1G/KLRC2/IRF8/RSAD2/AICDA/ADORA2B/IL21/RORC/VAV3/SRC,23
GO:0002443,leukocyte mediated immunity,17/163,262/10799,4.196913840868848e-7,2.2898361915780436e-4,1.7980462455090748e-4,CCR2/STAP1/ITGAM/CD300A/KLRD1/KIT/GZMB/CCR6/CD70/SPON2/IL13/FCER1G/KLRC2/RSAD2/AICDA/ADORA2B/IL21,17
GO:0002366,leukocyte activation involved in immune response,15/163,213/10799,7.430593267503832e-7,3.29989770829557e-4,2.5911760442898154e-4,CCR2/ITGAM/CD300A/KIT/CCR6/ZNF683/IL13/EOMES/FCER1G/KLRC2/IRF8/AICDA/ADORA2B/IL21/RORC,15
GO:0002263,cell activation involved in immune response,15/163,216/10799,8.877439003144475e-7,3.29989770829557e-4,2.5911760442898154e-4,CCR2/ITGAM/CD300A/KIT/CCR6/ZNF683/IL13/EOMES/FCER1G/KLRC2/IRF8/AICDA/ADORA2B/IL21/RORC,15
GO:0042063,gliogenesis,14/163,190/10799,1.0293204903059477e-6,3.29989770829557e-4,2.5911760442898154e-4,CDK5R1/MAL/CCR2/STAP1/EGR2/CDKN2B/SOX4/ETV5/BMERB1/GPR157/EOMES/CDH2/MYRF/NAB2,14
GO:0032103,positive regulation of response to external stimulus,20/163,380/10799,1.0886759301561632e-6,3.29989770829557e-4,2.5911760442898154e-4,CCR2/PDGFRB/STAP1/CCR1/CD300A/CXCL8/KLRD1/NRP1/CCR6/HSPB1/SCARF1/DAPK2/AIM2/KLRC2/PLAU/RSAD2/ADORA2B/IL21/SRC/PIK3AP1,20
GO:0007186,G protein-coupled receptor signaling pathway,18/163,322/10799,1.6645455483308328e-6,4.540880255846512e-4,3.565631779845521e-4,CDK5R1/CCR2/PDE4A/PDGFRB/CCR1/CXCL8/CCR6/ADM/GABBR1/GPR157/CCL3L1/ACKR2/BCAR3/SORT1/AGRN/ADORA2B/APLN/SRC,18
