ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002250,adaptive immune response,53/591,328/10799,6.902153003887063e-13,2.7574101250528816e-9,2.233391403573561e-9,HLA-DPA1/CD74/LAG3/IL7R/TRBC1/CCR2/CLU/HLA-DRB1/HLA-DPB1/HLA-DRA/ARID5A/HLA-DQB1/TRAC/EIF2AK4/HLA-DMB/RSAD2/TMEM98/LTA/AHR/TNFSF13B/P2RX7/CD40LG/LAT2/ANXA1/TNFRSF11A/IL23A/C4BPB/BTLA/TRBV28/HLA-DQA1/PVR/LYN/LY9/HLA-DMA/RAP1GAP2/IRF7/FCGR3A/IL1R1/AICDA/CD274/CTSL/JCHAIN/CX3CR1/HMHB1/CD79A/XCL1/ICAM1/TRAV13-2/HFE/RORC/RIPK2/CSF2RB/TRAV4,53
GO:0006954,inflammatory response,64/591,485/10799,2.976431612260964e-11,5.9454221454912754e-8,4.8155530400474756e-8,FN1/CCR2/CLU/HLA-DRB1/IGF1/CCR7/TIMP1/EIF2AK2/NFATC3/MGST2/CAMK1D/TSPAN18/P2RX1/CCR1/PTGER2/PLSCR1/LTA/AHR/GRN/P2RX7/CD40LG/NCR3/CDO1/ANXA1/TNFRSF11A/IL23A/CCL4/LYN/GGT1/SMAD1/CCL20/C3AR1/CXCL8/NFATC4/AFAP1L2/TSPAN2/USP18/CD200/CXCR6/ADM/FCGR3A/IL1R1/IL1RN/TBXA2R/PLCG2/ZEB2/IRF5/CCL22/NLRP2/SCN9A/IL21/CX3CR1/PTGIS/IL5/MGLL/XCL1/HFE/LY86/CCL17/TICAM2/SNCA/RIPK2/ALOX5/IL1R2,64
GO:0009617,response to bacterium,53/591,365/10799,4.77785450312877e-11,6.362509579999812e-8,5.153377102672926e-8,IL7R/HLA-DRB1/IFI44/GBP1/ARID5A/PLAAT3/CCR7/GNLY/OAS3/TRAC/TNFSF8/MGST2/PTGER2/OAS1/CMPK2/SLC9A9/LTA/AHR/GRN/P2RX7/TNFRSF11A/IL23A/C4BPB/IL12RB2/IRF8/LYN/CCL20/HPGD/CXCL8/SPON2/USP18/CDH1/IRAK3/ADM/TBXA2R/AICDA/PLCG2/CD274/RNASE6/JCHAIN/C15orf48/IRF5/CX3CR1/RNASE4/PRKCE/TRAV13-2/TENT5A/LY86/TICAM2/SNCA/RIPK2/CSF2RB/TRAV4,53
GO:0002252,immune effector process,56/591,404/10799,8.364648404625864e-11,8.354192594120082e-8,6.76656031468945e-8,BST2/CD74/LAG3/IL7R/CCR2/CLU/HLA-DRB1/KLRB1/HLA-DRA/ARID5A/EIF2AK4/DDX60/HLA-DMB/RSAD2/TMEM98/GPI/LTA/AHR/GRN/P2RX7/CD40LG/NCR3/LAT2/ANXA1/IL23A/C4BPB/IRF8/PVR/LYN/LY9/VAV3/CRTAM/SPON2/IFNL1/IRF7/GZMB/IRAK3/FCGR3A/IL1R1/FGL2/AICDA/PLCG2/IRF5/IL21/CX3CR1/IL5/POU2AF1/DLL1/XCL1/ICAM1/PRKCE/HFE/TICAM2/RORC/RIPK2/CSF2RB,56
GO:0002697,regulation of immune effector process,40/591,247/10799,4.840620358920251e-10,2.770268956623995e-7,2.243806540455085e-7,BST2/CD74/LAG3/IL7R/CCR2/HLA-DRB1/KLRB1/HLA-DRA/ARID5A/DDX60/HLA-DMB/RSAD2/GPI/LTA/AHR/GRN/P2RX7/CD40LG/NCR3/ANXA1/IL23A/C4BPB/PVR/LYN/CRTAM/SPON2/IFNL1/IRAK3/IL1R1/FGL2/PLCG2/IRF5/IL21/CX3CR1/IL5/XCL1/ICAM1/HFE/TICAM2/RIPK2,40
GO:0070371,ERK1 and ERK2 cascade,32/591,169/10799,5.02204795090266e-10,2.770268956623995e-7,2.243806540455085e-7,CD74/FN1/HLA-DRB1/IGF1/GBP1/CCR7/MYC/ZFP36L2/CCR1/PDGFRB/TNFRSF11A/DUSP3/MT3/NDRG2/CCL4/LYN/CCL20/SPRY1/GCNT2/DUSP5/ITGAV/CCL22/EPHA4/CAVIN3/XCL1/SPRED2/ICAM1/CCL17/RIPK2/PDGFA/ERBB2/EPHB1,32
GO:0007186,G protein-coupled receptor signaling pathway,47/591,322/10799,5.293780307538306e-10,2.770268956623995e-7,2.243806540455085e-7,CCR2/S1PR4/GPR15/CCR7/CISH/SORT1/PMCH/S1PR1/CCR1/PTGER2/PDGFRB/GPR157/PIK3CB/ADRB2/ANXA1/NMUR1/APLN/CCL4/RAMP1/CCL20/HPGD/C3AR1/CXCL8/GPR35/CXCR6/ADM/CYSLTR2/TBXA2R/ADGRL1/MC1R/CCL22/CA2/KISS1R/CX3CR1/GNB4/MGLL/AGRN/XCL1/UCN/ADCY9/ADGRG1/CCL17/HOMER2/PLEK/SNCA/TSHR/GPR63,47
GO:0070663,regulation of leukocyte proliferation,33/591,179/10799,5.547472253564946e-10,2.770268956623995e-7,2.243806540455085e-7,BST2/HLA-DPA1/CD74/CCR2/HLA-DRB1/HLA-DPB1/IGF1/TNFSF8/HLA-DMB/VSIR/AHR/TNFSF13B/CD40LG/ANXA1/IL23A/HES1/TSPAN32/HHLA2/LST1/LYN/IGFBP2/VAV3/CRTAM/DLG5/TNFSF9/FCGR3A/CD274/IL21/IL5/XCL1/RIPK2/CSF2RB/ERBB2,33
GO:0050670,regulation of lymphocyte proliferation,31/591,162/10799,7.166660436595817e-10,3.1812009382444767e-7,2.5766449335784255e-7,HLA-DPA1/CD74/CCR2/HLA-DRB1/HLA-DPB1/IGF1/TNFSF8/HLA-DMB/VSIR/AHR/TNFSF13B/CD40LG/ANXA1/IL23A/HES1/TSPAN32/HHLA2/LST1/LYN/IGFBP2/VAV3/CRTAM/DLG5/TNFSF9/FCGR3A/CD274/IL21/IL5/XCL1/RIPK2/ERBB2,31
GO:0032944,regulation of mononuclear cell proliferation,31/591,165/10799,1.1500857648651929e-9,4.459570281717447e-7,3.612072734602314e-7,HLA-DPA1/CD74/CCR2/HLA-DRB1/HLA-DPB1/IGF1/TNFSF8/HLA-DMB/VSIR/AHR/TNFSF13B/CD40LG/ANXA1/IL23A/HES1/TSPAN32/HHLA2/LST1/LYN/IGFBP2/VAV3/CRTAM/DLG5/TNFSF9/FCGR3A/CD274/IL21/IL5/XCL1/RIPK2/ERBB2,31
