category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,4/53,25/5151,1.0770546173610147e-4,0.0077583373448038935,0.006544523931810062,1191/5328/725/10544,4
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,4/53,28/5151,1.703910488328372e-4,0.0077583373448038935,0.006544523931810062,3119/3123/3109/2571,4
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,6/53,86/5151,2.2250369561239942e-4,0.0077583373448038935,0.006544523931810062,5367/5023/8862/133/84634/10316,6
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,4/53,30/5151,2.2461531710756926e-4,0.0077583373448038935,0.006544523931810062,3119/3123/10673/3109,4
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,5/53,57/5151,2.6569648441109224e-4,0.0077583373448038935,0.006544523931810062,3119/3123/3109/7850/945,5
Human Diseases,Immune disease,hsa05310,Asthma,3/53,15/5151,4.2895174332338755e-4,0.01043782575420243,0.008804798941901112,3119/3123/3109,3
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,4/53,47/5151,0.0012847052802395667,0.025180776424797567,0.021241174056966947,3119/3123/3109/3460,4
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,3/53,22/5151,0.0013797685712217845,0.025180776424797567,0.021241174056966947,3119/3123/3109,3
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,4/53,52/5151,0.001877378925700704,0.02753088133188117,0.023223598527974745,3119/3123/3109/3460,4
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,3/53,25/5151,0.0020162940921663558,0.02753088133188117,0.023223598527974745,3119/3123/3109,3
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,3/53,26/5151,0.002262812164264206,0.02753088133188117,0.023223598527974745,3119/3123/3109,3
Human Diseases,Immune disease,hsa05330,Allograft rejection,3/53,26/5151,0.002262812164264206,0.02753088133188117,0.023223598527974745,3119/3123/3109,3
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,4/53,60/5151,0.0031827300531651844,0.03574450675093207,0.03015217945103859,3119/3123/10673/3109,4
